;country;2011 population;2012 population;2013 population;2014 population;2015 population;2016 population;2017 population;2011 mean;2012 mean;2013 mean;2014 mean;2015 mean;2016 mean;2017 mean
Innsbruck;AT;;;;;;262780;261503;;;;;;21.7266426;20.91215015
Klosterneuburg;AT;;;;;30000;;;;;;;13.87788095;;
Adelaide (4);AU;;;;;;;1133475;;;;;;;30.25068223
Canberra;AU;;;;338888;338888;;390706;;;;56.89616536;7.691244221;;38.88335438
Toowoomba;AU;;;;125000;125000;;125000;;;;5.889086562;3.98390827;;13.08951955
Sarajevo;BA;;;130000;;;150000;;;;0;;;22.35904762;
Antwerp (2);BE;;344094;344094;344094;344094;344094;;;36.63566582;46.28208244;34.72459171;51.26738325;64.09227964;
Antwerp D;BE;;213876;213876;213876;213876;213876;;;18.85430659;30.26261521;20.0570944;38.65533618;43.27233944;
Antwerp Z;BE;117200;130218;130218;130218;130218;130218;130218;52.13751429;65.84058362;72.59318822;58.81516025;71.98198629;98.28790182;95.28659413
Boom;BE;;;;;;;30600;;;;;;;20.49063585
Brussels;BE;1027300;953987;953987;;953987;953987;953987;6.901528571;12.98234579;15.26616482;;21.94897216;34.4139998;25.14898247
Geraardsbergen;BE;;;29047;29047;29047;;;;;4.839450571;12.27323205;10.26471026;;
Koksijde;BE;;;78441;;78441;78441;78441;;;9.113043478;;7.791193935;5.748764768;10.68397941
Merchtem;BE;;;;;;;16200;;;;;;;7.358704586
Ninove;BE;;;36179;36179;36179;;;;;10.96191378;15.82070104;10.43912475;;
Oostende;BE;;;;;159000;159000;159000;;;;;9.183768194;13.40854627;14.6643407
Ruisbroek;BE;;;;;;;36000;;;;;;;10.84872143
Sofia;BG;;;;;;1200000;;;;;;;2.591318214;
Granby;CA;;;;55255;55255;;;;;;0;0;;
Montreal;CA;;;;1958257;1958257;;;;;;0;0;;
Basel;CH;;260000;260000;260000;260000;260000;260000;;14.61035714;23.08857143;23.35604945;9.54532967;24.77097593;31.31294872
Berne;CH;;206655;206655;206655;206655;206655;206655;;19.21661707;27.68900549;18.83133034;12.49936229;19.54873458;33.00466333
Biel;CH;;;;82285;;;;;;;9.668446775;;;
Chur;CH;;;;52800;52800;;;;;;8.568323539;11.44975626;;
Geneva;CH;;410486;410486;417200;417200;417200;417200;;10.14765459;18.78212521;21.27430112;23.92534721;32.30143417;47.18000305
