"","...1","country","2011 population","2012 population","2013 population","2014 population","2015 population","2016 population","2017 population","2011 mean","2012 mean","2013 mean","2014 mean","2015 mean","2016 mean","2017 mean"
"1","Innsbruck","AT",NA,NA,NA,NA,NA,262780,261503,NA,NA,NA,NA,NA,21.7266426,20.91215015
"2","Klosterneuburg","AT",NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,NA,13.87788095,NA,NA
"3","Adelaide (4)","AU",NA,NA,NA,NA,NA,NA,1133475,NA,NA,NA,NA,NA,NA,30.25068223
"4","Canberra","AU",NA,NA,NA,338888,338888,NA,390706,NA,NA,NA,56.89616536,7.691244221,NA,38.88335438
"5","Toowoomba","AU",NA,NA,NA,125000,125000,NA,125000,NA,NA,NA,5.889086562,3.98390827,NA,13.08951955
"6","Sarajevo","BA",NA,NA,130000,NA,NA,150000,NA,NA,NA,0,NA,NA,22.35904762,NA
"7","Antwerp (2)","BE",NA,344094,344094,344094,344094,344094,NA,NA,36.63566582,46.28208244,34.72459171,51.26738325,64.09227964,NA
"8","Antwerp D","BE",NA,213876,213876,213876,213876,213876,NA,NA,18.85430659,30.26261521,20.0570944,38.65533618,43.27233944,NA
"9","Antwerp Z","BE",117200,130218,130218,130218,130218,130218,130218,52.13751429,65.84058362,72.59318822,58.81516025,71.98198629,98.28790182,95.28659413
"10","Boom","BE",NA,NA,NA,NA,NA,NA,30600,NA,NA,NA,NA,NA,NA,20.49063585
"11","Brussels","BE",1027300,953987,953987,NA,953987,953987,953987,6.901528571,12.98234579,15.26616482,NA,21.94897216,34.4139998,25.14898247
"12","Geraardsbergen","BE",NA,NA,29047,29047,29047,NA,NA,NA,NA,4.839450571,12.27323205,10.26471026,NA,NA
"13","Koksijde","BE",NA,NA,78441,NA,78441,78441,78441,NA,NA,9.113043478,NA,7.791193935,5.748764768,10.68397941
"14","Merchtem","BE",NA,NA,NA,NA,NA,NA,16200,NA,NA,NA,NA,NA,NA,7.358704586
"15","Ninove","BE",NA,NA,36179,36179,36179,NA,NA,NA,NA,10.96191378,15.82070104,10.43912475,NA,NA
"16","Oostende","BE",NA,NA,NA,NA,159000,159000,159000,NA,NA,NA,NA,9.183768194,13.40854627,14.6643407
"17","Ruisbroek","BE",NA,NA,NA,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,10.84872143
"18","Sofia","BG",NA,NA,NA,NA,NA,1200000,NA,NA,NA,NA,NA,NA,2.591318214,NA
"19","Granby","CA",NA,NA,NA,55255,55255,NA,NA,NA,NA,NA,0,0,NA,NA
"20","Montreal","CA",NA,NA,NA,1958257,1958257,NA,NA,NA,NA,NA,0,0,NA,NA
"21","Basel","CH",NA,260000,260000,260000,260000,260000,260000,NA,14.61035714,23.08857143,23.35604945,9.54532967,24.77097593,31.31294872
"22","Berne","CH",NA,206655,206655,206655,206655,206655,206655,NA,19.21661707,27.68900549,18.83133034,12.49936229,19.54873458,33.00466333
"23","Biel","CH",NA,NA,NA,82285,NA,NA,NA,NA,NA,NA,9.668446775,NA,NA,NA
"24","Chur","CH",NA,NA,NA,52800,52800,NA,NA,NA,NA,NA,8.568323539,11.44975626,NA,NA
"25","Geneva","CH",NA,410486,410486,417200,417200,417200,417200,NA,10.14765459,18.78212521,21.27430112,23.92534721,32.30143417,47.18000305
"26","Lausanne","CH",NA,NA,NA,220000,220000,NA,NA,NA,NA,NA,20.4551781,42.88242579,NA,NA
"27","Lugano","CH",NA,NA,NA,103561,103561,103561,NA,NA,NA,NA,3.676869946,7.738663339,2.518861141,NA
"28","Luzern","CH",NA,NA,NA,174800,174800,NA,NA,NA,NA,NA,13.01267591,24.96904839,NA,NA
"29","Neuchatel","CH",NA,NA,NA,50000,50000,NA,NA,NA,NA,NA,4.97196272,13.8265554,NA,NA
"30","Sion","CH",NA,NA,NA,45000,45000,NA,NA,NA,NA,NA,8.309331371,9.198364333,NA,NA
"31","St.Gallen (2)","CH",NA,89000,89000,NA,NA,NA,NA,NA,19.66619888,39.16480417,NA,NA,NA,NA
"32","St.Gallen A","CH",NA,37000,37000,NA,NA,NA,NA,NA,17.51094865,38.69140154,NA,NA,NA,NA
"33","St.Gallen H","CH",NA,52000,52000,52000,52000,52000,52000,NA,19.17417308,39.50164835,29.90872253,18.21673077,22.51524703,27.8416978
"34","Winterthur","CH",NA,NA,NA,125000,125000,NA,NA,NA,NA,NA,14.91948686,13.94823429,NA,NA
"35","Zurich","CH",NA,410000,410000,410000,410000,410000,410000,NA,38.74965164,42.86982056,55.41927014,40.61977596,59.31822757,81.20010209
"36","Bogota","CO",NA,NA,NA,NA,2500000,NA,NA,NA,NA,NA,NA,4.666082857,NA,NA
"37","Medellin","CO",NA,NA,NA,NA,6e+05,NA,NA,NA,NA,NA,NA,1.091191429,NA,NA
"38","Limassol","CY",NA,NA,272000,NA,120000,120000,120000,NA,NA,1.042633988,NA,2.349124643,3.425659524,9.13022131
"39","Nicosia","CY",NA,NA,28000,NA,28000,28000,28000,NA,NA,1.405012755,NA,2.023584577,1.54149599,3.710125714
"40","Brno","CZ",NA,NA,NA,NA,NA,NA,445000,NA,NA,NA,NA,NA,NA,25.38194254
"41","Budweis","CZ",112000,112000,110300,NA,110300,110300,110300,3.4826,10.18186224,7.242313172,NA,9.119194405,18.50945732,13.90505634
"42","Prague","CZ",NA,1300000,1300000,NA,NA,NA,NA,NA,9.539346154,21.89839052,NA,NA,NA,NA
"43","Berlin (4)","DE",NA,NA,NA,3840000,3840000,NA,3993500,NA,NA,NA,28.57522814,38.28100501,NA,49.7695474
"44","Chemnitz","DE",NA,NA,NA,NA,NA,NA,239402,NA,NA,NA,NA,NA,NA,9.675519121
"45","Dortmund","DE",NA,NA,371788,371788,371788,371788,371788,NA,NA,13.75077586,11.25403609,16.57564265,23.74214683,19.98854493
"46","Dresden","DE",NA,NA,593050,593050,593050,669675,669675,NA,NA,0,4.753818156,5.085403543,12.71898288,9.565169032
"47","Dülmen","DE",NA,NA,34495,34495,34495,34046,44428,NA,NA,4.260484956,9.511262502,6.994990578,14.05511451,8.424481344
"48","Erfurt","DE",NA,NA,NA,NA,NA,NA,213977,NA,NA,NA,NA,NA,NA,7.612727403
"49","Frankfurt (3)","DE",NA,NA,NA,NA,NA,NA,1118389,NA,NA,NA,NA,NA,NA,22.56571602
"50","Hamburg (2)","DE",NA,NA,NA,NA,NA,NA,2050000,NA,NA,NA,NA,NA,NA,31.28988976
"51","Hannover (2)","DE",NA,NA,NA,NA,NA,NA,740000,NA,NA,NA,NA,NA,NA,21.98049954
"52","Magdeburg","DE",NA,NA,NA,NA,NA,NA,278236,NA,NA,NA,NA,NA,NA,23.4939481
"53","Mainz","DE",NA,NA,NA,NA,NA,NA,200344,NA,NA,NA,NA,NA,NA,25.97579403
"54","Munich (2)","DE",NA,NA,NA,NA,NA,1739040,1701626,NA,NA,NA,NA,NA,24.01830336,21.20935085
"55","Munich G","DE",NA,NA,NA,1e+06,1e+06,1043424,1064497,NA,NA,NA,18.06279429,7.243904,24.09130462,22.46136639
"56","Munich M","DE",NA,NA,NA,NA,NA,695616,637129,NA,NA,NA,NA,NA,23.90880147,19.11751892
"57","Nuremberg","DE",NA,NA,NA,NA,NA,NA,453914,NA,NA,NA,NA,NA,NA,13.65668198
"58","Rostock","DE",NA,NA,NA,NA,NA,NA,237316,NA,NA,NA,NA,NA,NA,19.5394086
"59","Saarbrucken (2)","DE",NA,NA,NA,NA,NA,NA,203164,NA,NA,NA,NA,NA,NA,25.02413138
"60","Stuttgart","DE",NA,NA,NA,NA,NA,NA,602000,NA,NA,NA,NA,NA,NA,23.16750934
"61","Copenhagen","DK",NA,NA,531000,531000,531000,NA,NA,NA,NA,19.46575491,28.20555133,53.08298467,NA,NA
"62","Barcelona","ES",1162000,1162000,1162000,1150874,1150874,1149722,1154819,18.73271,27.61744111,31.41336501,30.34930533,33.82128824,46.7858333,48.05969507
"63","Castellon","ES",170600,204878,204878,180690,180690,171669,171669,0,0,6.426475408,4.123626891,3.484740716,5.964493465,10.54535581
"64","Molina de Segura","ES",NA,NA,NA,NA,70709,70709,NA,NA,NA,NA,NA,4.218196512,0,NA
"65","Santiago","ES",136500,136500,136500,136500,136500,136500,136500,5.99135,5.048306337,NA,11.19219062,14.41629734,4.45688854,11.53333124
"66","Valencia (3)","ES",NA,NA,1357952,1357952,1310859,1310859,1191210,NA,NA,8.138542282,8.962632494,9.804949566,6.898097736,NA
"67","Espoo","FI",NA,NA,NA,3e+05,3e+05,3e+05,3e+05,NA,NA,NA,27.29445314,44.65332865,31.85516162,19.12204093
"68","Helsinki","FI",780000,780000,780000,8e+05,8e+05,8e+05,8e+05,NA,14.56965604,27.61018076,18.02182159,38.42104348,34.16073386,26.85290282
"69","Joensuu","FI",NA,NA,NA,75000,NA,81849,NA,NA,NA,NA,1.611671086,NA,4.561941645,NA
"70","Jyväskylä","FI",NA,NA,NA,135000,NA,135000,NA,NA,NA,NA,6.325264444,NA,16.74855245,NA
"71","Kotka","FI",NA,NA,NA,72500,NA,72500,NA,NA,NA,NA,7.791130916,NA,12.7577727,NA
"72","Kuopio","FI",NA,NA,NA,80000,NA,85588,NA,NA,NA,NA,7.858995357,NA,13.41656226,NA
"73","Lahti","FI",NA,NA,NA,63000,NA,63000,NA,NA,NA,NA,24.26406803,NA,17.97284841,NA
